key,press_time,release_time,dwell_time,flight_time
s,4428.7,4589.9,161.2,233.5
e,4823.4,4924.8,101.4,385.9
c,5310.7,5488.5,177.8,210.8
u,5699.3,5839.0,139.7,160.2
r,5999.2,6117.5,118.3,107.4
e,6224.9,6378.6,153.7,1002.4
p,7381.0,7548.4,167.4,15.2
a,7563.6,7737.6,174.0,196.0
s,7933.6,8043.5,109.9,350.5
w,8394.0,8557.3,163.3,88.4
o,8645.7,8796.8,151.1,191.0
r,8987.8,9132.8,145.0,444.3
d,9577.1,9710.1,133.0,212.4
1,9922.5,10071.8,149.3,111.8
2,10183.6,10325.3,141.7,109.9
3,10435.2,10571.6,136.4,0.0
